time,probe,pressure
0.00254953,sn1,0.0282366
0.00471622,sn1,0.0564758
0.00739457,sn1,0.368125
0.00991606,sn1,1.44792
0.0118242,sn1,2.72568
0.0145602,sn1,4.6205
0.0167941,sn1,5.96175
0.0188407,sn1,7.23957
0.0213167,sn1,8.74673
0.0235693,sn1,10.0477
0.0260495,sn1,11.1502
0.0285487,sn1,11.987
0.0307221,sn1,12.5555
0.0329324,sn1,13.0366
0.0355519,sn1,13.5315
0.0378377,sn1,13.9374
0.0401349,sn1,14.3427
0.0424957,sn1,14.7869
0.0448876,sn1,15.25
0.047302,sn1,15.7238
0.0496914,sn1,16.1826
0.0522818,sn1,16.6588
0.0543132,sn1,16.9433
0.0573877,sn1,17.2304
0.0600888,sn1,17.3219
0.0617111,sn1,17.3214
0.0647302,sn1,17.2564
0.0662731,sn1,17.2163
0.0695561,sn1,17.1367
0.0712263,sn1,17.1118
0.0740268,sn1,17.108
0.0753138,sn1,17.1452
0.078144,sn1,17.3772
0.0811843,sn1,17.6629
0.0824897,sn1,17.7804
0.0851259,sn1,17.9992
0.0874226,sn1,18.1666
0.0895098,sn1,18.6632
0.091977,sn1,19.5648
0.0944151,sn1,20.7211
0.0965266,sn1,21.7062
0.0990223,sn1,22.7652
0.101164,sn1,23.5447
0.103574,sn1,24.2707
0.106257,sn1,24.8954
0.108165,sn1,25.2377
0.111207,sn1,25.6303
0.113454,sn1,25.8299
0.115728,sn1,25.9743
0.118015,sn1,26.0738
0.120679,sn1,26.1556
0.123377,sn1,26.2258
0.124733,sn1,26.2613
0.127455,sn1,26.3396
0.130618,sn1,26.4548
0.132211,sn1,26.5256
0.135422,sn1,26.697
0.137025,sn1,26.7952
0.140282,sn1,27.0184
0.141915,sn1,27.14
0.143813,sn1,27.2886
0.147611,sn1,27.6026
0.149518,sn1,27.7663
0.151427,sn1,27.9318
0.153332,sn1,28.0969
0.15525,sn1,28.2616
0.158992,sn1,28.5751
0.160677,sn1,28.7268
0.162542,sn1,28.9185
0.166113,sn1,29.3366
0.167871,sn1,29.556
0.16962,sn1,29.7775
0.173119,sn1,30.2208
0.174873,sn1,30.4393
0.176623,sn1,30.6526
0.180123,sn1,31.0619
0.181869,sn1,31.2576
0.18363,sn1,31.4503
0.187106,sn1,31.8225
0.188855,sn1,32.0062
0.190617,sn1,32.1882
0.194138,sn1,32.5447
0.195903,sn1,32.7218
0.197672,sn1,32.9005
0.201188,sn1,33.2637
0.202865,sn1,33.4459
0.204625,sn1,33.6418
0.207971,sn1,34.0354
0.209711,sn1,34.245
0.213225,sn1,34.6494
0.214991,sn1,34.8417
0.216747,sn1,35.0299
0.220244,sn1,35.4043
0.222001,sn1,35.5949
0.223699,sn1,35.7855
0.227059,sn1,36.1876
0.228805,sn1,36.4008
0.23056,sn1,36.6114
0.233929,sn1,37.0122
0.235684,sn1,37.2209
0.252237,sn1,39.1546
