time(s),probe,pressure
0.00258231,SN1,0.0310835
0.00477685,SN1,0.0641902
0.00718769,SN1,0.360614
0.0100026,SN1,1.56474
0.0122398,SN1,3.09794
0.0143396,SN1,4.57869
0.0169479,SN1,6.28605
0.0194181,SN1,7.87336
0.0214578,SN1,9.08671
0.0239724,SN1,10.2174
0.0264884,SN1,10.9668
0.028672,SN1,11.4634
0.0312652,SN1,11.982
0.0335144,SN1,12.4281
0.0358182,SN1,12.9194
0.0381174,SN1,13.4401
0.0404923,SN1,14.0075
0.0428797,SN1,14.5636
0.0452838,SN1,15.0898
0.0477258,SN1,15.593
0.0501227,SN1,16.0447
0.0526401,SN1,16.4835
0.0556038,SN1,16.8529
0.0575985,SN1,17.0184
0.0601978,SN1,17.1494
0.0633755,SN1,17.1589
0.0651348,SN1,17.1167
0.0667019,SN1,17.0722
0.0700179,SN1,16.9781
0.0717288,SN1,16.9438
0.074567,SN1,16.9275
0.0771611,SN1,17.0683
0.078689,SN1,17.2087
0.081522,SN1,17.4797
0.0841502,SN1,17.7132
0.0867665,SN1,17.9234
0.0893012,SN1,18.096
0.0912785,SN1,18.2291
0.0932728,SN1,18.534
0.0953123,SN1,19.3646
0.0978955,SN1,20.5313
0.100406,SN1,21.6813
0.102735,SN1,22.6807
0.105358,SN1,23.674
0.107401,SN1,24.3339
0.110672,SN1,25.1895
0.113101,SN1,25.683
0.114325,SN1,25.8903
0.116977,SN1,26.2549
0.119846,SN1,26.5508
0.12274,SN1,26.7717
0.124199,SN1,26.86
0.127379,SN1,27.0161
0.129091,SN1,27.09
0.132535,SN1,27.235
0.13427,SN1,27.3109
0.136015,SN1,27.3912
0.139865,SN1,27.5848
0.141949,SN1,27.704
0.144011,SN1,27.8344
0.146094,SN1,27.9774
0.148191,SN1,28.1315
0.150295,SN1,28.2946
0.154514,SN1,28.6415
0.156951,SN1,28.8512
0.15932,SN1,29.0562
0.161668,SN1,29.2769
0.163917,SN1,29.5156
0.166188,SN1,29.7926
0.168424,SN1,30.0935
0.170637,SN1,30.41
0.172823,SN1,30.7353
0.174998,SN1,31.0657
0.177181,SN1,31.3969
0.179386,SN1,31.7244
0.18159,SN1,32.0431
0.183809,SN1,32.3548
0.186019,SN1,32.6565
0.188237,SN1,32.9515
0.192663,SN1,33.5221
0.194874,SN1,33.8015
0.197091,SN1,34.0799
0.199313,SN1,34.3587
0.201538,SN1,34.6389
0.203763,SN1,34.9211
0.205987,SN1,35.2058
0.208216,SN1,35.4943
0.21044,SN1,35.7855
0.212669,SN1,36.0812
0.214901,SN1,36.3806
0.217131,SN1,36.6827
0.219365,SN1,36.9878
0.221595,SN1,37.2945
0.226056,SN1,37.9127
0.228293,SN1,38.2293
0.230401,SN1,38.5398
0.232476,SN1,38.8586
0.234535,SN1,39.1856
0.236598,SN1,39.5185
0.238656,SN1,39.8513
0.25564,SN1,42.3304
0.259988,SN1,43.3825
0.295714,SN1,49.6616
0.33139,SN1,54.6743
0.364984,SN1,58.1758
0.409413,SN1,61.4668
0.436742,SN1,62.9243
0.46817,SN1,64.2021
0.504312,SN1,65.27
0.545876,SN1,66.1121
0.593674,SN1,66.7305
0.648642,SN1,67.1461
0.709106,SN1,67.3956
0.775617,SN1,67.5192
0.84878,SN1,67.5729
0.929258,SN1,67.5927
1.01778,SN1,67.5986
1.11516,SN1,67.5998
1.22228,SN1,67.6
1.34011,SN1,67.6
1.46972,SN1,67.6
1.61229,SN1,67.6
1.76912,SN1,67.6
1.94164,SN1,67.6
2.1314,SN1,67.6
2.34014,SN1,67.6
2.55097,SN1,67.6
2.7639,SN1,67.6
