time(s)	probe	pressure
0.00258231	SN1	0.0270568
0.00477685	SN1	0.0583847
0.00717897	SN1	0.314155
0.0100067	SN1	1.38226
0.0122578	SN1	2.69421
0.0147193	SN1	4.09691
0.0168468	SN1	5.25402
0.0193602	SN1	6.69716
0.0214487	SN1	7.80139
0.0240924	SN1	8.8409
0.0262486	SN1	9.31422
0.0287771	SN1	9.69002
0.0310011	SN1	9.99157
0.0336368	SN1	10.4069
0.0359417	SN1	10.8538
0.0382747	SN1	11.3581
0.0405774	SN1	11.8513
0.0429223	SN1	12.3216
0.0453154	SN1	12.7717
0.0477526	SN1	13.2005
0.0501566	SN1	13.5844
0.0528635	SN1	13.9766
0.0552498	SN1	14.2039
0.0572689	SN1	14.3247
0.0597877	SN1	14.3666
0.062812	SN1	14.3189
0.0643413	SN1	14.2733
0.0672671	SN1	14.1964
0.0703022	SN1	14.1639
0.0717091	SN1	14.1682
0.0741156	SN1	14.2099
0.0763956	SN1	14.3547
0.0791006	SN1	14.6299
0.0817997	SN1	14.8992
0.084484	SN1	15.1409
0.0858399	SN1	15.2478
0.0885239	SN1	15.4329
0.0906115	SN1	15.56
0.093175	SN1	15.8677
0.0954531	SN1	16.7636
0.0976727	SN1	17.6667
0.100374	SN1	18.7442
0.102832	SN1	19.6209
0.105592	SN1	20.4409
0.107638	SN1	20.9345
0.109715	SN1	21.3414
0.112145	SN1	21.7117
0.114588	SN1	21.9927
0.117254	SN1	22.218
0.12014	SN1	22.402
0.121589	SN1	22.4788
0.124528	SN1	22.6116
0.126245	SN1	22.6843
0.129684	SN1	22.8385
0.131413	SN1	22.9233
0.134925	SN1	23.113
0.136706	SN1	23.2183
0.138783	SN1	23.3503
0.140836	SN1	23.4907
0.142891	SN1	23.6404
0.147079	SN1	23.9617
0.149189	SN1	24.1274
0.151304	SN1	24.2938
0.153422	SN1	24.4594
0.15587	SN1	24.6502
0.15828	SN1	24.8367
0.160557	SN1	25.0219
0.162835	SN1	25.2229
0.165046	SN1	25.4468
0.167273	SN1	25.699
0.169475	SN1	25.964
0.171666	SN1	26.235
0.173851	SN1	26.5078
0.17821	SN1	27.0456
0.18042	SN1	27.3074
0.182631	SN1	27.5603
0.184843	SN1	27.8066
0.187059	SN1	28.0487
0.189269	SN1	28.2874
0.191487	SN1	28.5255
0.193701	SN1	28.7632
0.195919	SN1	29.0028
0.198144	SN1	29.2454
0.200374	SN1	29.4912
0.202606	SN1	29.7398
0.204839	SN1	29.9914
0.209294	SN1	30.5008
0.21153	SN1	30.7605
0.213766	SN1	31.0226
0.216002	SN1	31.2859
0.21824	SN1	31.551
0.220481	SN1	31.8178
0.22272	SN1	32.0907
0.224823	SN1	32.3589
0.226895	SN1	32.6356
0.228972	SN1	32.922
0.23103	SN1	33.2019
0.23549	SN1	33.7567
0.237593	SN1	34.0122
0.239659	SN1	34.2619
0.255306	SN1	36.1217
0.259583	SN1	37.4274
0.295308	SN1	45.2506
0.330985	SN1	51.4959
0.364579	SN1	55.8584
0.409007	SN1	59.9586
0.436336	SN1	61.7745
0.467764	SN1	63.3665
0.503907	SN1	64.697
0.54547	SN1	65.7462
0.593268	SN1	66.5167
0.648236	SN1	67.0345
0.708701	SN1	67.3454
0.775212	SN1	67.4993
0.848374	SN1	67.5663
0.928853	SN1	67.591
1.01738	SN1	67.5982
1.11476	SN1	67.5998
1.22187	SN1	67.6
1.3397	SN1	67.6
1.46931	SN1	67.6
1.61189	SN1	67.6
1.76872	SN1	67.6
1.94123	SN1	67.6
2.13099	SN1	67.6
2.33973	SN1	67.6
2.55056	SN1	67.6
2.7635	SN1	67.6
2.97856	SN1	67.6
3.19578	SN1	67.6
3.41517	SN1	67.6
3.63675	SN1	67.6
3.86055	SN1	67.6
3.86055	SN1	67.6
3.89399	SN1	57.6
3.91395	SN1	47.6
3.93691	SN1	38.0965
3.96331	SN1	29.3495
3.99368	SN1	21.6001
4.0286	SN1	15.0413
4.06876	SN1	9.78895
4.11494	SN1	5.85797
4.16804	SN1	3.15271
4.22646	SN1	1.47837
4.29072	SN1	0.614722
4.36141	SN1	0.219697
4.43917	SN1	0.0644003
4.5247	SN1	0.0143255
4.61878	SN1	0.00207276
4.72227	SN1	0.000122622
4.83612	SN1	0
4.96134	SN1	0
5.09909	SN1	0
5.25061	SN1	0
5.41729	SN1	0
5.60063	SN1	0
5.80231	SN1	0
6.00601	SN1	0
6.21174	SN1	0
6.41953	SN1	0
6.62939	SN1	0
6.84136	SN1	0
7.05544	SN1	0
7.27167	SN1	0
7.49006	SN1	0
7.71063	SN1	0
7.93341	SN1	0
8.15841	SN1	0
8.38567	SN1	0
8.61519	SN1	0
8.84702	SN1	0
9.08116	SN1	0
9.31764	SN1	0
9.55649	SN1	0
9.79773	SN1	0
10.0414	SN1	0
10.2875	SN1	0
10.536	SN1	0
10.787	SN1	0
11.0406	SN1	0
11.2967	SN1	0
11.5553	SN1	0
11.8165	SN1	0
12.0804	SN1	0
12.3468	SN1	0
12.616	SN1	0
12.8878	SN1	0
13.1623	SN1	0
13.4396	SN1	0
13.7197	SN1	0
14.0026	SN1	0
14.2883	SN1	0
