時間 (sec),SN1 ,時間 (sec),SN2 ,時間 (sec),SN3 ,時間 (sec),SN4 
0.00258231,0.0290167,0.0952722,0.458803,0.164974,0.0444429,0.259436,1.73959
0.00477685,0.061051,0.0978259,1.56404,0.167201,0.127191,0.291023,47.6019
0.00718367,0.336475,0.100532,2.25165,0.169398,0.317951,0.33935,42.8154
0.00999233,1.45787,0.102989,2.73693,0.171595,0.487669,0.375744,40.0211
0.012212,2.84953,0.105747,3.19513,0.175974,0.799738,0.398131,38.7951
0.0143328,4.22511,0.107791,3.51185,0.178177,0.949175,0.453481,37.6162
0.0169379,5.79165,0.10987,3.79672,0.180382,1.11787,0.487528,37.8106
0.0194332,7.28959,0.112295,4.11722,0.182595,1.27665,0.526683,38.669
0.0214641,8.39068,0.114742,4.4074,0.184806,1.44819,0.57171,40.1995
0.0239625,9.3791,0.117408,4.7137,0.18702,1.62345,0.623491,42.4252
0.0264821,10.0054,0.120297,5.01453,0.189237,1.80185,0.680451,45.2772
0.0286626,10.4306,0.121747,5.15484,0.191455,1.97492,0.743106,48.4361
0.0312597,10.8954,0.12467,5.42329,0.193674,2.15986,0.812027,51.5574
0.0335141,11.3222,0.127893,5.71419,0.195894,2.34583,0.88784,53.7456
0.035823,11.8074,0.129615,5.86212,0.198117,2.53755,0.971234,54.6338
0.0381258,12.3217,0.131363,6.00964,0.200346,2.72428,1.06297,54.4505
0.040511,12.8721,0.134847,6.29394,0.202571,2.92364,1.16388,53.4914
0.0428919,13.387,0.136619,6.43271,0.207031,3.32282,1.27487,52.353
0.0452902,13.8673,0.138687,6.60336,0.20926,3.53161,1.39697,50.2343
0.0477364,14.3242,0.140768,6.76818,0.211497,3.73903,1.53128,47.5091
0.0501413,14.7322,0.144941,7.09157,0.213724,3.94954,1.67902,44.3416
0.0527615,15.1386,0.147033,7.25209,0.215959,4.16573,1.84153,40.7425
0.0550433,15.3846,0.14914,7.41079,0.218194,4.38199,2.02029,36.8792
0.0581388,15.5944,0.151251,7.56847,0.220426,4.60135,2.21693,32.8041
0.0608645,15.6388,0.153366,7.72582,0.222661,4.82566,2.43323,28.5952
0.0624922,15.6205,0.155815,7.92135,0.2249,5.05349,2.6517,24.6656
0.0654636,15.5438,0.1582,8.09756,0.22714,5.31034,2.87235,21.0622
0.0670246,15.5042,0.160471,8.36989,0.22925,5.55884,3.09521,17.7834
0.0700424,15.4542,0.162758,8.61949,0.23132,5.79728,3.3203,14.8487
0.0714807,15.4459,0.164974,8.94606,0.233391,6.01718,3.54763,12.4177
0.0739511,15.462,0.167201,9.21748,0.237564,6.47012,3.77724,10.2973
0.0775253,15.6932,0.169398,9.47021,0.239626,6.70033,3.77724,10.2973
0.0788531,15.8231,0.171595,9.71974,0.255444,8.43833,3.81155,10.0165
0.08153,16.0821,0.175974,10.2255,0.259436,9.01156,3.83151,9.85489
0.0842038,16.3214,0.178177,10.4841,0.291023,47.6991,3.85447,9.67071
0.0869141,16.5345,0.180382,10.7405,0.33935,43.2804,3.88088,9.46001
0.0882618,16.6261,0.182595,11.0011,0.375744,40.9031,3.91124,9.22072
0.0914123,16.8085,0.184806,11.2626,0.398131,40.1028,3.94616,8.94939
0.0933425,17.094,0.18702,11.5231,0.453481,39.6839,3.98632,8.64308
