time (sec),SN1 ,SN2 ,SN3 ,SN4 
0,0,0,0,0
0.001,0,0,0,0
0.002,0,0,0,0
0.003,0,0,0,0
0.004,0.0848028597974777,0,0,0
0.005,0.176275357024607,0,0,0
0.006,0.267747854251736,0,0,0
0.007,0.370320859910387,0,0,0
0.008,0.781969544951836,0,0,0
0.009,1.19361822999328,0,0,0
0.01,1.61642546289983,0,0,0
0.011,2.29502505380488,0,0,0
0.012,2.97362464470993,0,0,0
0.013,3.65222423561498,0,0,0
0.014,4.37107091456273,0,0,0
0.015,5.10987557359448,0,0,0
0.016,5.84868023262624,0,0,0
0.017,6.51675979174341,0,0,0
0.018,7.13667875584394,0,0,0
0.019,7.75659771994446,0,0,0
0.02,8.36361793297552,0,0,0
0.021,8.78690959418772,0,0,0
0.022,9.21020125539992,0,0,0
0.023,9.63174271288621,0,0,0
0.024,9.88001400150716,0,0,0
0.025,10.1282852901281,0,0,0
0.026,10.3765565787491,0,0,0
0.027,10.5999170754606,0,0,0
0.028,10.8122161013965,0,0,0
0.029,11.0245151273325,0,0,0
0.03,11.2404690084191,0,0,0
0.031,11.4656327128157,0,0,0
0.032,11.6907964172123,0,0,0
0.033,11.9170797642436,0,0,0
0.034,12.1567654223969,0,0,0
0.035,12.3964510805501,0,0,0
0.036,12.6361367387033,0,0,0
0.037,12.8738546390485,0,0,0
0.038,13.1111391284305,0,0,0
0.039,13.3484236178125,0,0,0
0.04,13.574465311411,0,0,0
0.041,13.7918721561969,0,0,0
0.042,14.0092790009829,0,0,0
0.043,14.207125730719,0,0,0
0.044,14.3306289986928,0,0,0
0.045,14.4541322666667,0,0,0
0.046,14.5776355346405,0,0,0
0.047,14.6671399071926,0,0,0
0.048,14.7019426914153,0,0,0
0.049,14.7367454756381,0,0,0
0.05,14.770815087259,0,0,0
0.051,14.7715168202343,0,0,0
0.052,14.7722185532097,0,0,0
0.053,14.772920286185,0,0,0
0.054,14.7685493531149,0,0,0
0.055,14.7624320700323,0,0,0
0.056,14.7563147869498,0,0,0
0.057,14.7847113744982,0,0,0
0.058,14.8169641532621,0,0,0
0.059,14.8492169320261,0,0,0
0.06,14.8853745808294,0,0,0
0.061,14.9340481755702,0,0,0
0.062,14.9827217703111,0,0,0
0.063,15.0313113057325,0,0,0
0.064,15.0796127919321,0,0,0
0.065,15.1279142781316,0,0,0
0.066,15.1762157643312,0,0,0
0.067,15.2590848514739,0,0,0
0.068,15.36087171744,0,0,0
0.069,15.4657893072653,0,0,0
0.07,15.8686073135409,0,0,0
0.071,16.2714253198166,0,0,0
0.072,16.6742433260922,0,0,0
0.073,17.0527006405637,0,0,0
0.074,17.4205176528679,0,0,0
0.075,17.788334665172,0,0,0
0.076,18.1561516774762,0,0,0
0.077,18.4512567112685,0,0,0
0.078,18.7424783601344,0,0,0
0.079,19.0337000090004,0,0,0
0.08,19.279576175426,0,0,0
0.081,19.4971969763123,0,0,0
0.082,19.7148177771985,0,0,0
0.083,19.8970066596688,0,0,0
0.084,20.0498524725916,0,0,0
0.085,20.2026982855143,0,0,0
0.086,20.3497982552287,0,0,0
0.087,20.4537016217425,0,0,0
0.088,20.5576049882563,0,0,0
0.089,20.6615083547702,0,0,0
0.09,20.7456358001718,0,0,0
0.091,20.8129847838534,0,0,0
0.092,20.8803337675351,0,0,0
0.093,20.9265585400492,0,0,0
0.094,20.9656136432494,0,0,0
0.095,21.0046687464495,0,0,0
0.096,21.0437238496497,0,0,0
0.097,21.0717041638092,0,0,0
0.098,21.0895350641716,0,0,0
0.099,21.1073659645341,0,0,0
0.1,21.1209378605806,0,0,0
0.101,21.1295040136816,0,0,0
0.102,21.1380701667827,0,0,0
0.103,21.1460873073436,0,0,0
0.104,21.1511341492898,0,0,0
0.105,21.156180991236,0,0,0
0.106,21.1612278331822,0,0,0
0.107,21.1668004803074,0,0,0
0.108,21.1724681075889,0,0,0
0.109,21.1781357348703,0,0,0
0.11,21.1974214946863,0.0154787079876586,0,0
0.111,21.2218986972917,0.0368581389098389,0,0
0.112,21.2463758998972,0.0582375698320192,0,0
0.113,21.2856137080868,0.131687858974359,0,0
0.114,21.3283816239316,0.217591277777778,0,0
0.115,21.3711495397765,0.303494696581197,0,0
0.116,21.4260378512397,0.375501456198347,0,0
0.117,21.4846494214876,0.443239307438017,0,0
0.118,21.5432609917355,0.510977158677686,0,0
0.119,21.6162422981785,0.580561561277266,0,0
0.12,21.6942724308523,0.650794752192489,0,0
0.121,21.772302563526,0.721027943107713,0,0
0.122,21.8503326961997,0.791261134022937,0,0
0.123,21.9324791109626,0.860498036096257,0,0
0.124,22.0245579879679,0.927330923796791,0,0
0.125,22.1166368649733,0.994163811497326,0,0
0.126,22.2107750337382,1.06339305330634,0,0
0.127,22.3096954116059,1.13818725033738,0,0
0.128,22.4086157894737,1.21298144736842,0,0
0.129,22.509280866915,1.28785355909245,0,0
0.13,22.6133783948527,1.36287895699289,0,0
0.131,22.7174759227904,1.43790435489333,0,0
0.132,22.8223076299797,1.5128357326131,0,0
0.133,22.928317083052,1.58761628629305,0,0
0.134,23.0343265361242,1.66239683997299,0,0
0.135,23.139891462041,1.7385938004055,0,0
0.136,23.2448475332282,1.81673076819103,0,0
0.137,23.3498036044154,1.89486773597657,0,0
0.138,23.4547596756026,1.97300470376211,0,0
0.139,23.5597157467898,2.05114167154765,0,0
0.14,23.6629992120589,2.12985388831792,0,0
0.141,23.7662537512847,2.20857605344296,0,0
0.142,23.8693477936185,2.28738999321113,0,0
0.143,23.970094568907,2.3675461371351,0,0
0.144,24.0708413441955,2.44770228105906,0,0
0.145,24.1713019863014,2.52797658904109,0,0
0.146,24.2696239041096,2.60913412328767,0,0
0.147,24.3679458219178,2.69029165753425,0,0
0.148,24.4656519835841,2.77134098495212,0,0
0.149,24.5608640218878,2.85195202006384,0,0
0.15,24.6560760601915,2.93256305517556,0,0
0.151,24.7512880984952,3.01317409028728,0,0
0.152,24.8465001367989,3.093785125399,0,0
0.153,24.9393110349554,3.17577834132968,0,0
0.154,25.0315660041124,3.2580915695682,0,0
0.155,25.1238209732694,3.34040479780672,0,0
0.156,25.2146489369118,3.42594731613803,0,0
0.157,25.3053077030324,3.51187272568839,0,0
0.158,25.3959574559827,3.59782696730147,0,0
0.159,25.4862556952928,3.6849056593604,0,0
0.16,25.5765539346029,3.77198435141933,0,0
0.161,25.6672411126565,3.87795937969402,0,0
0.162,25.7591465368567,4.04312210570236,0,0
0.163,25.851051961057,4.20828483171071,0,0
0.164,25.9429573852573,4.37344755771906,0,0
0.165,26.0817547834216,4.77823069803678,0,0
0.166,26.2461362106575,5.31374955126208,0,0
0.167,26.4105176378934,5.84926840448739,0,0
0.168,26.653702268431,6.33017017013233,0,0
0.169,26.9979996849401,6.74099247637052,0,0
0.17,27.3422971014493,7.1518147826087,0,0
0.171,27.7199617814277,7.56786010107392,0,0
0.172,28.1906503474416,7.9984665445357,0,0
0.173,28.6613389134555,8.42907298799748,0,0
0.174,29.1401699950323,8.86148311972181,0,0
0.175,29.6939454545455,9.31049454545455,0,0
0.176,30.2477209140586,9.75950597118728,0,0
0.177,30.8014963735718,10.20851739692,0,0
0.178,31.3570351730589,10.6577852198316,0,0
0.179,31.9353014655441,11.110357717493,0,0
0.18,32.5135677580293,11.5629302151543,0,0
0.181,33.0918340505145,12.0155027128157,0,0
0.182,33.6567652091853,12.4811827304184,0,0
0.183,34.2196151620006,12.948908430324,0,0
0.184,34.782465114816,13.4166341302296,0,0
0.185,35.3249163693271,13.8865748669797,0,0
0.186,35.8580306103286,14.3575294835681,0,0
0.187,36.3911448513302,14.8284841001565,0,0
0.188,36.9112962456252,15.3063576519249,0.0658453964365249,0
0.189,37.4180095768374,15.7914037861915,0.19995007349666,0
0.19,37.9247229080496,16.2764499204582,0.334054750556794,0
0.191,38.4246598086124,16.7571202870813,0.585280668899529,0
0.192,38.9119006379585,17.2295923763955,1.0559406370016,0
0.193,39.3991414673046,17.7020644657097,1.52660060510368,0
0.194,39.8830499366688,18.1752469917669,1.98680521532616,0
0.195,40.3546458834706,18.6510544648512,2.40837899620013,0
0.196,40.8262418302723,19.1268619379354,2.8299527770741,0
0.197,41.2976243654822,19.6033885786802,3.25161379441624,0
0.198,41.7653401015228,20.0922718274112,3.6747736928934,0
0.199,42.2330558375635,20.5811550761421,4.09793359137056,0
0.2,42.7007715736041,21.0700383248731,4.52109348984772,0
0.201,43.1696977862113,21.558770683112,4.94350848513599,0
0.202,43.6479394054396,22.0463418406072,5.36019096457938,0
0.203,44.1261810246679,22.5339129981025,5.77687344402277,0
0.204,44.6044226438963,23.0214841555977,6.19355592346616,0
0.205,45.0950186649794,23.5158651692502,6.62032816830117,0
0.206,45.5862239797532,24.0105820310029,7.04759801961405,0
0.207,46.0774292945271,24.5052988927555,7.47486787092693,0
0.208,46.5793583043341,25.0058285985448,7.91004519455869,0
0.209,47.0841036380892,25.5078849098387,8.34729922809237,0
0.21,47.5888489718443,26.0099412211326,8.78455326162606,0
0.211,48.1021361225134,26.5181915061572,9.22615405746763,0
0.212,48.6204184085886,27.0300639406378,9.67029677928639,0
0.213,49.1387006946637,27.5419363751184,10.1144395011051,0
0.214,49.6624985981308,28.0501700934579,10.5433714953271,0
0.215,50.1926679906542,28.5542004672897,10.9547324766355,0
0.216,50.7228373831776,29.0582308411215,11.3660934579439,0
0.217,51.2522840386043,29.5541861172977,11.766136352388,0
0.218,51.764385003712,29.8563390497402,11.8945451620886,0
0.219,52.2764859688196,30.1584919821826,12.0229539717892,0
0.22,52.7885869339272,30.4606449146251,12.1513627814897,0
0.221,53.3006878990349,30.7627978470676,12.2797715911903,0
0.222,53.6807687838223,30.8971156650527,12.3438064084306,0
0.223,54.0607175163771,31.0312654799203,12.4077767872401,0
0.224,54.4406662489319,31.1654152947878,12.4717471660496,0
0.225,54.7665652013299,31.3214244181751,12.5534081640192,0
0.226,55.0357561876616,31.5003678980421,12.6536298115996,0
0.227,55.3049471739934,31.6793113779091,12.7538514591799,0
0.228,55.4827510416667,31.8638527777778,12.8676069444444,0
0.229,55.6349290719697,32.0499638888889,12.9851574494949,0
0.23,55.7871071022727,32.236075,13.1027079545455,0
0.231,55.8903679232351,32.3789514279187,13.1943465615719,0
0.232,55.9627462645648,32.4945328763994,13.2696264336303,0
0.233,56.0351246058944,32.6101143248801,13.3449063056888,0
0.234,56.1075029472241,32.7256957733607,13.4201861777473,0
0.235,56.1727503256622,32.8386862353452,13.4964836734694,0
0.236,56.2149127225358,32.9432889274859,13.5760755102041,0
0.237,56.2570751194095,33.0478916196266,13.6556673469388,0
0.238,56.2946613278576,33.1550543463381,13.7316082819986,0
0.239,56.3319189139859,33.2624009126169,13.8072870408396,0
0.24,56.3691765001141,33.3697474788957,13.8829657996806,0
0.241,56.4064340862423,33.4770940451745,13.9586445585216,0
0.242,56.4471342806394,33.5861881882771,14.037051687389,0
0.243,56.4906511545293,33.6967121669627,14.1176911190053,0
0.244,56.5391686345201,33.8064635872014,14.1967540784137,0
0.245,56.5994660657954,33.9143950878774,14.2721033348355,0
0.246,56.6597634970708,34.0223265885534,14.3474525912573,0
0.247,56.7200609283461,34.1302580892294,14.4228018476791,0
0.248,56.7803583596215,34.2381895899054,14.4981511041009,0
0.249,56.8578444750115,34.352706694177,14.5784542411738,0
0.25,56.9381287482806,34.4682958734525,14.659563823934,0
0.251,57.0328117811409,34.5868641909197,14.740599790454,0
0.252,57.1343018859139,34.7068409080326,14.8216009545984,0
0.253,57.2357919906868,34.8268176251455,14.9026021187427,0
0.254,57.3372820954598,34.9467943422584,14.9836032828871,0
0.255,57.4460275538894,35.0672334582943,15.064486316776,0
0.256,57.5664118088097,35.188414339269,15.1451798500469,0
0.257,57.6900059210526,35.3096042763158,15.2256835526316,0
0.258,57.8232296052632,35.430821381579,15.3056177631579,0
0.259,57.9564532894737,35.5520384868421,15.3855519736842,0
0.26,58.0896769736842,35.6732555921053,15.4654861842105,0
0.261,58.2229006578947,35.7944726973684,15.5454203947368,0
0.262,58.3634652459016,35.915457704918,15.6249078688525,0
0.263,58.5040741451991,36.0364413114754,15.70439264637,0
0.264,58.6455866291344,36.1553992024396,15.7825991789819,0
0.265,58.7872474313863,36.2740245836266,15.8605958949097,0
0.266,58.9289082336383,36.3926499648135,15.9385926108374,0
0.267,59.0705690358902,36.5112753460005,16.0165893267652,0
0.268,59.210374929312,36.6279000942507,16.0936847313855,0
0.269,59.348923468426,36.7431687087653,16.1701691800189,0
0.27,59.4842238072744,36.8562601794993,16.2456309400094,0
0.271,59.6159196032121,36.966935663675,16.3199578176665,0
0.272,59.7476153991497,37.0776111478507,16.3942846953236,0
0.273,59.8793111950874,37.1882866320265,16.4686115729806,0
0.274,60.0089550307038,37.2976923948984,16.5422752479924,0
0.275,60.1321009919698,37.4030773736419,16.6138387812943,0
0.276,60.2540578387326,37.5077156538189,16.684990990778,0
0.277,60.3675362024119,37.6070299125089,16.7532104279972,0
0.278,60.4810145660913,37.7063441711989,16.8214298652164,0
0.279,60.5944929297706,37.8056584298889,16.8896493024356,0
0.28,60.70797129345,37.9049726885789,16.9578687396548,0
0.281,60.8128677388836,37.9988948912015,17.0231634815516,0
0.282,60.916746641438,38.0921777672658,17.0881114474929,0
0.283,61.0137212408241,38.1813170968506,17.1508106085721,0.00154661828084302
0.284,61.1087484726498,38.2692877338385,17.2128754913569,0.00352946223064175
0.285,61.2037757044755,38.3572583708264,17.2749403741416,0.00551230618044049
0.286,61.2988029363012,38.4452290078144,17.3370052569264,0.00749515013023922
0.287,61.388359886202,38.5299167852063,17.397275580844,0.0195966312114752
0.288,61.4735661450925,38.611993598862,17.4561186344239,0.0397457895803705
0.289,61.5587724039829,38.6940704125178,17.5149616880038,0.0598949479492646
0.29,61.6439786628734,38.7761472261735,17.5738047415837,0.0800441063181598
0.291,61.7272684736091,38.8568848787446,17.6318987161198,0.110394475891582
0.292,61.8068214931051,38.9350113647171,17.6885320970043,0.160635702710412
0.293,61.8854682509506,39.0125009505703,17.7448114068441,0.20574050380228
0.294,61.9611811787072,39.0879287072243,17.799944486692,0.234217214828896
0.295,62.0368941064639,39.1633564638783,17.8550775665399,0.262693925855512
0.296,62.1126070342205,39.2387842205323,17.9102106463878,0.291170636882128
0.297,62.1882461538462,39.3141408357075,17.9652930674264,0.319647348528014
0.298,62.2613230769231,39.3870278252612,18.0186169040836,0.348124081671414
0.299,62.3344,39.4599148148148,18.0719407407407,0.376600814814814
0.3,62.4059289586305,39.5306178792202,18.1238879220162,0.403253684736091
0.301,62.4773269614836,39.6011361864004,18.175718640038,0.429752258202567
0.302,62.5487249643367,39.6716544935806,18.2275493580599,0.456250831669044
0.303,62.6201229671897,39.7421728007608,18.2793800760818,0.482749405135521
0.304,62.6907171889839,39.8118032288699,18.3308859449193,0.511023360873694
0.305,62.7609925925926,39.8810814814815,18.382262962963,0.540001518518518
0.306,62.8308354112349,39.9491474045982,18.4325325195544,0.567331584972742
0.307,62.9004016591609,40.0164382318085,18.4820940270206,0.593607953780516
0.308,62.969967907087,40.0837290590187,18.5316555344868,0.619884322588291
0.309,63.039534155013,40.151019886229,18.5812170419531,0.646160691396065
0.31,63.1088277091255,40.2178312737643,18.6306154942966,0.672987790399239
0.311,63.1776965304182,40.2838959125475,18.6797599809886,0.700672676330798
0.312,63.2463623013049,40.3496975563464,18.7287720996441,0.728655266429418
0.313,63.3145236298932,40.4148458362989,18.7774553736655,0.75737744911032
0.314,63.3826849584816,40.4799941162515,18.8261386476868,0.786099631791222
0.315,63.45084628707,40.545142396204,18.8748219217082,0.814821814472124
0.316,63.5189244260355,40.6100955266272,18.9233264852071,0.843375470769231
0.317,63.5859303431953,40.6725333964497,18.9695276686391,0.869757009230769
0.318,63.652936260355,40.7349712662722,19.015728852071,0.896138547692308
0.319,63.7199421775148,40.7974091360947,19.061930035503,0.922520086153846
0.32,63.7869480946745,40.8598470059172,19.1081312189349,0.948901624615384
0.321,63.8528070409134,40.9213401998097,19.1545278782112,0.977276960038059
0.322,63.9184588011418,40.9826627497621,19.200959847764,1.00601245004757
0.323,63.9830060742141,41.0433944221224,19.2470654218861,1.03495574095958
0.324,64.0471753013472,41.1039238477901,19.2930592767667,1.063970158355
0.325,64.1113445284803,41.1644532734578,19.3390531316474,1.09298457575041
0.326,64.1755137556133,41.2249826991255,19.385046986528,1.12199899314583
0.327,64.2390064971751,41.2842623352166,19.4294700564972,1.1486959039548
0.328,64.3018596045198,41.3423602636535,19.4724079096045,1.17320155367232
0.329,64.3628211981567,41.3986379416283,19.514647311828,1.19882098310292
0.33,64.4208242703533,41.4520685611879,19.555794265233,1.22618247823861
0.331,64.4788273425499,41.5054991807476,19.596941218638,1.2535439733743
0.332,64.5368304147465,41.5589298003072,19.638088172043,1.28090546850998
0.333,64.5948334869432,41.6123604198669,19.679235125448,1.30826696364567
0.334,64.6528365591398,41.6657910394265,19.720382078853,1.33562845878136
0.335,64.7108396313364,41.7192216589862,19.7615290322581,1.36298995391705
0.336,64.768842703533,41.7726522785458,19.8026759856631,1.39035144905274
0.337,64.8268457757297,41.8260828981055,19.8438229390681,1.41771294418843
0.338,64.8848488479263,41.8795135176651,19.8849698924731,1.44507443932412
0.339,64.9428519201229,41.9329441372248,19.9261168458781,1.47243593445981
0.34,65.0008549923195,41.9863747567844,19.9672637992832,1.49979742959549
0.341,65.0588580645161,42.0398053763441,20.0084107526882,1.52715892473118
0.342,65.1168611367127,42.0932359959037,20.0495577060932,1.55452041986687
0.343,65.1748642089094,42.1466666154634,20.0907046594982,1.58188191500256
0.344,65.232867281106,42.200097235023,20.1318516129032,1.60924341013825
0.345,65.2908703533026,42.2535278545827,20.1729985663082,1.63660490527394
0.346,65.3488734254992,42.3069584741423,20.2141455197133,1.66396640040963
0.347,65.4068764976958,42.360389093702,20.2552924731183,1.69132789554532
0.348,65.4648795698925,42.4138197132617,20.2964394265233,1.718689390681
0.349,65.5925102498398,42.4813512491992,20.381203203075,1.86660030108905
0.35,65.7314756566304,42.5511782831518,20.473067392697,2.03413553491352
0.351,65.8704410634209,42.6210053171044,20.564931582319,2.201670768738
0.352,66.0094064702114,42.690832351057,20.6567957719411,2.36920600256246
0.353,66.1483718770019,42.7606593850096,20.7486599615631,2.53674123638693
0.354,66.2873372837924,42.8304864189622,20.8405241511851,2.7042764702114
0.355,66.4001850353121,43.2505864287078,21.5641497232296,3.70628878030159
0.356,66.4967516510785,43.8890384233632,22.6816005726284,5.22849459247949
0.357,66.5933182668448,44.5274904180187,23.7990514220271,6.75070040465739
0.358,66.6898848826112,45.1659424126742,24.9165022714259,8.27290621683528
0.359,66.7864514983776,45.8043944073297,26.0339531208246,9.79511202901318
0.36,66.8830181141439,46.4428464019851,27.1514039702233,11.3173178411911
0.361,66.9795847299103,47.0812983966406,28.2688548196221,12.839523653369
0.362,67.0761513456766,47.7197503912961,29.3863056690208,14.3617294655469
0.363,67.172717961443,48.3582023859515,30.5037565184196,15.8839352777248
0.364,67.2692845772094,48.996654380607,31.6212073678183,17.4061410899027
0.365,67.3658511929758,49.6351063752625,32.738658217217,18.9283469020806
0.366,67.4624178087421,50.2735583699179,33.8561090666158,20.4505527142585
0.367,67.5589844245085,50.9120103645734,34.9735599160145,21.9727585264364
0.368,67.6555510402749,51.5504623592289,36.0910107654133,23.4949643386143
0.369,67.7521176560412,52.1889143538843,37.208461614812,25.0171701507922
0.37,67.8486842718076,52.8273663485398,38.3259124642108,26.5393759629701
0.371,67.945250887574,53.4658183431953,39.4433633136095,28.061581775148
0.372,68.0418175033403,54.1042703378507,40.5608141630082,29.5837875873259
0.373,68.1383841191067,54.7427223325062,41.678265012407,31.1059933995037
0.374,68.2349507348731,55.3811743271617,42.7957158618057,32.6281992116817
0.375,68.3315173506394,56.0196263218172,43.9131667112045,34.1504050238595
0.376,68.4280839664058,56.6580783164726,45.0306175606032,35.6726108360374
0.377,68.5246505821722,57.2965303111281,46.1480684100019,37.1948166482153
0.378,68.6212171979385,57.9349823057836,47.2655192594007,38.7170224603932
0.379,68.7177838137049,58.573434300439,48.3829701087994,40.2392282725711
0.38,68.8143504294713,59.2118862950945,49.5004209581982,41.761434084749
0.381,68.9109170452377,59.85033828975,50.6178718075969,43.2836398969269
0.382,69.007483661004,60.4887902844054,51.7353226569956,44.8058457091048
0.383,69.1040502767704,61.1272422790609,52.8527735063944,46.3280515212827
0.384,69.2006168925367,61.7656942737164,53.9702243557931,47.8502573334606
0.385,69.2971835083031,62.4041462683718,55.0876752051919,49.3724631456385
0.386,69.3937501240695,63.0425982630273,56.2051260545906,50.8946689578164
0.387,69.4903167398358,63.6810502576828,57.3225769039894,52.4168747699943
0.388,69.5868833556022,64.3195022523383,58.4400277533881,53.9390805821722
